LOCALITY	PLOT	YEAR	REP	BLK	ROW	COL	ID	F1_EARLINESS_1	F1_EARLINESS_2	F1_EARLINESS_3	F1_EARLINESS_4	F1_EARLINESS_5	F1_EARLINESS_L	F1_OVERALL_1	F1_OVERALL_2	F1_OVERALL_3	F1_OVERALL_4	F1_OVERALL_5	F1_OVERALL_L	F1_SPIKE_1	F1_SPIKE_2	F1_SPIKE_3	F1_SPIKE_4	F1_SPIKE_5	F1_SPIKE_L	F1_TILLER_1	F1_TILLER_2	F1_TILLER_3	F1_TILLER_4	F1_TILLER_5	F1_TILLER_L	F2_EARLINESS_1	F2_EARLINESS_2	F2_EARLINESS_3	F2_EARLINESS_4	F2_EARLINESS_5	F2_EARLINESS_L	F2_OVERALL_1	F2_OVERALL_2	F2_OVERALL_3	F2_OVERALL_4	F2_OVERALL_5	F2_OVERALL_L	F2_SPIKE_1	F2_SPIKE_2	F2_SPIKE_3	F2_SPIKE_4	F2_SPIKE_5	F2_SPIKE_L	F2_TILLER_1	F2_TILLER_2	F2_TILLER_3	F2_TILLER_4	F2_TILLER_5	F2_TILLER_L	F3_EARLINESS_1	F3_EARLINESS_2	F3_EARLINESS_3	F3_EARLINESS_4	F3_EARLINESS_5	F3_EARLINESS_L	F3_OVERALL_1	F3_OVERALL_2	F3_OVERALL_3	F3_OVERALL_4	F3_OVERALL_5	F3_OVERALL_L	F3_SPIKE_1	F3_SPIKE_2	F3_SPIKE_3	F3_SPIKE_4	F3_SPIKE_5	F3_SPIKE_L	F3_TILLER_1	F3_TILLER_2	F3_TILLER_3	F3_TILLER_4	F3_TILLER_5	F3_TILLER_L	M1_EARLINESS_1	M1_EARLINESS_2	M1_EARLINESS_3	M1_EARLINESS_4	M1_EARLINESS_5	M1_EARLINESS_L	M1_OVERALL_1	M1_OVERALL_2	M1_OVERALL_3	M1_OVERALL_4	M1_OVERALL_5	M1_OVERALL_L	M1_SPIKE_1	M1_SPIKE_2	M1_SPIKE_3	M1_SPIKE_4	M1_SPIKE_5	M1_SPIKE_L	M1_TILLER_1	M1_TILLER_2	M1_TILLER_3	M1_TILLER_4	M1_TILLER_5	M1_TILLER_L	M2_EARLINESS_1	M2_EARLINESS_2	M2_EARLINESS_3	M2_EARLINESS_4	M2_EARLINESS_5	M2_EARLINESS_L	M2_OVERALL_1	M2_OVERALL_2	M2_OVERALL_3	M2_OVERALL_4	M2_OVERALL_5	M2_OVERALL_L	M2_SPIKE_1	M2_SPIKE_2	M2_SPIKE_3	M2_SPIKE_4	M2_SPIKE_5	M2_SPIKE_L	M2_TILLER_1	M2_TILLER_2	M2_TILLER_3	M2_TILLER_4	M2_TILLER_5	M2_TILLER_L	M3_EARLINESS_1	M3_EARLINESS_2	M3_EARLINESS_3	M3_EARLINESS_4	M3_EARLINESS_5	M3_EARLINESS_L	M3_OVERALL_1	M3_OVERALL_2	M3_OVERALL_3	M3_OVERALL_4	M3_OVERALL_5	M3_OVERALL_L	M3_SPIKE_1	M3_SPIKE_2	M3_SPIKE_3	M3_SPIKE_4	M3_SPIKE_5	M3_SPIKE_L	M3_TILLER_1	M3_TILLER_2	M3_TILLER_3	M3_TILLER_4	M3_TILLER_5	M3_TILLER_L
hagreselam	110	2012	1	6	6	10	236301	5	4	4	4	4	5	4	3	4	5	4	4	5	5	5	4	4	3	4	4	4	4	4	3	4	4	5	5	5	4	3	3	3	3	4	3	3	4	4	4	4	3	3	3	3	3	3	3	4	3	4	3	4	4	3	3	3	3	4	3	3	4	4	3	3	3	3	3	4	3	4	4	5	5	5	5	5	5	3	2	2	3	2	3	2	2	3	2	2	2	2	3	3	2	2	3	3	3	3	3	3	3	2	2	2	2	3	2	3	3	3	3	2	3	2	2	3	4	2	2	4	4	4	4	4	4	1	1	2	1	2	2	3	3	3	3	3	3	3	3	3	3	3	3
hagreselam	51	2012	1	3	3	11	236308	5	5	5	5	5	5	5	4	4	5	4	5	5	5	5	5	4	5	5	4	4	5	4	5	4	5	5	4	4	4	5	4	3	3	4	5	4	4	5	4	5	5	3	3	4	4	4	4	5	4	4	4	3	4	4	3	4	3	3	4	4	4	4	5	3	4	4	4	4	4	3	4	4	5	5	5	4	4	5	4	3	5	5	5	4	5	4	5	5	5	3	4	3	4	3	4	2	2	3	3	2	2	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	2	3	3	3	3	3	3	3	4	3	1	3	3	3	4	4	3	4	3	4	4	4	3	3	3	3
hagreselam	80	2012	1	4	4	20	236313	4	5	5	4	4	4	5	4	4	4	4	4	4	5	4	5	5	4	4	4	4	3	4	2	3	3	4	4	3	3	4	4	3	3	3	4	3	3	4	3	3	3	2	4	3	2	2	3	4	3	4	4	4	4	4	4	4	3	4	4	4	4	4	4	5	4	4	4	3	3	4	3	3	4	5	3	4	3	3	4	4	4	3	4	4	5	4	3	3	4	2	3	3	3	2	3	2	2	2	2	2	2	2	3	2	3	3	3	3	2	3	2	3	2	2	2	2	2	2	2	4	3	3	3	4	4	1	1	1	1	1	3	2	2	3	3	3	4	2	2	3	3	3	3
hagreselam	382	2012	1	20	20	2	236982	5	5	5	5	5	NA	2	2	3	3	3	NA	4	3	4	2	4	NA	3	2	2	2	3	NA	5	5	5	5	5	5	2	3	5	1	2	3	3	4	4	2	3	4	2	2	3	1	1	2	4	5	4	3	3	4	3	3	3	2	3	3	3	3	4	3	3	3	4	4	3	3	3	4	4	5	5	5	5	5	3	2	3	3	2	2	3	3	3	2	2	2	2	1	2	2	2	2	4	4	4	3	3	4	2	2	2	2	2	3	4	3	2	3	2	4	2	2	2	2	2	2	4	4	4	4	4	5	1	1	1	1	1	3	3	4	4	4	3	3	3	3	3	3	3	4
hagreselam	191	2012	1	10	10	11	236984	2	3	3	3	4	2	4	4	4	3	4	3	4	4	4	5	4	4	3	2	3	4	3	3	2	2	2	2	3	2	3	3	3	2	3	3	2	3	2	3	2	3	1	3	3	2	2	2	2	3	2	3	3	2	3	3	3	3	3	3	3	3	3	4	5	2	2	2	2	2	4	2	1	1	1	1	1	1	3	4	3	4	1	3	3	2	2	3	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	2	2	2	2	1	2	1	1	1	2	1	2	2	1	2	2	1	1	1	1	1	1	1	2	2	3	2	2	3	2	3	2	2	3	3
hagreselam	159	2012	1	8	8	19	236986	4	4	5	5	4	4	4	4	4	4	4	4	4	5	4	5	5	4	3	2	2	3	3	2	4	4	3	4	5	4	3	4	3	3	2	3	3	3	4	3	3	3	2	2	3	2	2	2	4	4	4	3	3	4	4	3	3	4	4	5	3	3	4	4	4	4	4	3	3	3	3	4	3	3	3	3	4	3	4	4	3	5	3	3	4	4	4	3	3	4	3	2	2	2	2	2	2	2	2	2	2	2	2	4	3	3	4	2	3	3	3	2	2	3	2	2	2	2	2	2	3	3	3	3	3	3	2	2	2	1	2	2	3	2	3	2	2	3	2	2	2	2	2	2
hagreselam	121	2012	1	7	7	1	236987	5	4	4	4	4	4	4	3	4	4	4	4	5	5	4	4	4	3	4	3	3	3	3	3	4	4	4	4	4	4	3	4	4	2	3	4	3	4	3	3	4	4	3	3	3	2	3	3	4	4	4	3	3	4	3	3	2	3	4	3	3	3	3	3	4	3	3	3	3	4	4	3	3	4	2	5	3	3	2	2	1	1	1	1	3	5	3	1	1	3	2	3	2	2	2	2	3	3	2	3	3	3	2	2	2	3	1	2	3	2	1	3	2	2	2	2	2	2	2	2	4	4	3	4	4	4	4	4	4	4	4	5	3	3	3	3	3	3	3	2	3	3	3	2
hagreselam	398	2012	1	20	20	18	236988	3	4	2	3	2	NA	2	2	2	3	3	NA	4	4	3	4	4	NA	3	2	2	2	2	NA	2	4	2	3	3	3	2	4	3	2	1	1	2	3	2	2	2	2	2	2	3	2	1	1	3	3	3	3	3	3	3	3	2	3	2	3	3	3	3	3	3	3	2	2	2	3	3	2	2	2	2	3	3	3	3	3	3	4	4	3	3	4	3	5	4	3	1	3	1	2	3	2	2	2	2	2	2	2	1	2	2	1	1	2	2	3	2	2	2	3	1	2	1	1	1	1	3	2	3	2	3	2	2	2	1	2	1	2	2	2	2	2	2	3	2	2	2	2	2	2
hagreselam	94	2012	1	5	5	14	236989	4	4	4	4	4	4	4	4	4	4	4	4	5	5	5	5	5	5	4	5	4	4	4	4	4	4	5	4	3	3	4	4	3	3	4	3	3	3	4	4	4	4	2	2	3	3	3	3	4	3	3	4	4	4	4	3	4	3	4	4	3	4	5	4	5	4	3	3	3	4	4	3	3	4	3	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	4	3	4	4	3	3	3	2	2	1	3	2	3	4	4	4	4	4	3	4	3	4	3	4	2	3	2	3	3	3	3	2	3	3	2	3	3	2	3	4	2	3	3	3	3	3	3	4	3	3	3	2	3	2
hagreselam	289	2012	1	15	15	9	238117	5	5	4	5	5	NA	4	4	3	3	4	NA	4	3	5	4	4	NA	4	3	4	3	5	NA	5	5	5	5	5	5	4	3	3	3	3	4	3	4	3	4	4	3	2	3	3	3	3	3	4	5	4	5	5	5	3	3	3	3	3	3	3	3	4	4	3	4	4	4	3	4	3	3	4	5	4	4	5	4	3	3	3	3	3	3	3	3	3	4	3	3	3	4	3	4	2	3	3	4	3	3	4	3	2	2	2	2	1	3	2	2	2	3	3	3	2	2	2	2	2	2	4	4	4	4	4	4	2	1	1	1	2	3	3	3	4	3	3	2	2	2	4	2	3	3
hagreselam	281	2012	1	15	15	1	238119	3	3	3	3	3	3	4	4	3	4	3	NA	4	4	3	4	4	NA	3	2	2	2	3	NA	3	4	4	4	4	4	3	3	4	1	2	2	3	4	4	2	3	4	2	3	3	2	3	3	4	4	3	4	3	4	2	2	2	2	2	2	3	3	2	3	3	2	3	1	2	2	2	2	2	3	2	2	3	2	3	1	2	3	2	2	3	2	2	3	2	2	2	2	1	2	1	2	1	1	2	2	2	1	1	1	1	1	1	1	2	1	1	3	2	1	1	1	1	1	2	1	2	2	1	2	4	4	1	2	1	1	2	2	4	4	2	5	3	2	3	3	3	3	2	3
hagreselam	189	2012	1	10	10	9	238120	5	5	5	5	5	5	4	4	4	4	4	5	4	5	4	5	5	4	5	4	4	5	4	5	3	3	5	5	5	4	3	3	3	3	3	4	3	4	4	4	4	4	4	3	3	3	3	3	5	5	5	3	4	4	3	4	3	3	4	3	3	4	4	3	3	3	3	3	5	4	4	5	4	4	5	4	4	3	3	3	4	3	3	3	2	2	3	4	2	2	3	3	3	3	2	3	3	3	2	3	2	3	2	3	2	3	3	3	2	3	2	3	3	3	2	2	3	2	3	3	4	4	4	4	4	4	2	2	1	2	1	2	3	3	3	3	3	3	3	3	3	3	3	3
hagreselam	50	2012	1	3	3	10	238121	5	5	5	5	5	5	4	4	4	4	5	5	5	5	5	5	5	4	5	4	4	4	5	4	5	4	5	5	5	5	5	3	4	4	4	4	2	4	4	5	4	4	3	3	3	4	4	5	4	5	4	3	3	5	4	4	4	3	3	4	4	4	4	4	3	3	4	3	3	5	4	4	5	5	5	5	5	5	3	4	3	4	3	3	3	3	3	4	2	3	4	4	5	4	3	4	3	4	3	4	1	3	3	3	3	2	2	2	2	3	2	3	3	3	3	3	2	3	3	4	4	4	4	4	4	4	1	1	3	2	2	1	3	3	4	3	3	3	3	3	3	3	3	3
